name,time
Dragon Nest Europe,51.69
Dragons and Titans,3.045833333333333
Driver San Francisco,5.85
Duke Nukem 3D Megaton Edition,4.2
Duke Nukem Forever,10.365
Dungeon Defenders,34.380180180180176
Dungeon Defenders II,11.023529411764706
Dungeon Siege,7.909090909090909
Dungeon Siege III,6.34516129032258
Dungeon of the Endless,9.81111111111111
Dungeonland,1.7481481481481482
Dungeons & Dragons Online,26.0
Dungeons of Dredmor,28.449999999999996
Dust An Elysian Tail,7.295652173913043
Dustforce,4.806666666666667
Dying Light,27.6575
E.Y.E Divine Cybermancy,4.683333333333334
EDGE,1.0999999999999999
EVE Online,34.885714285714286
EVGA PrecisionX 16,16.610000000000003
Earth 2160,5.84
Echo of Soul,17.76521739130435
Eets Munchies,2.38
Eldevin,23.228571428571428
Elite Dangerous,74.4151515151515
Elsword,13.617857142857144
Emily is Away,0.7395833333333334
Empire Total War,93.11408450704225
Enclave,2.6866666666666665
Endless Legend,33.897368421052626
Endless Sky,1.5076923076923079
Endless Space,29.384313725490195
Estranged Act I,3.0416666666666665
Eternal Silence,0.8300000000000001
Eufloria,24.583333333333332
Euro Truck Simulator 2,42.2625730994152
Europa Universalis III,67.6875
Europa Universalis IV,141.28571428571428
Everlasting Summer,5.2026315789473685
Evil Genius,16.791666666666668
Evoland,3.3722222222222222
Evolve,23.13235294117647
F.E.A.R.,5.858333333333333
F.E.A.R. 2 Project Origin,10.386842105263158
F.E.A.R. 3,7.7433962264150935
F.E.A.R. Online,2.8814814814814813
F1 2012,59.23684210526316
F1 2013,47.46666666666667
FEZ,4.592307692307693
FINAL FANTASY VII,23.9984126984127
FINAL FANTASY VIII,25.74827586206897
FINAL FANTASY XIII,21.62727272727273
FINAL FANTASY XIII-2,12.2
FINAL FANTASY XIV A Realm Reborn,84.92857142857143
FORCED,2.8703703703703702
FTL Faster Than Light,18.37936507936508
Fable - The Lost Chapters,10.991666666666667
Fable Anniversary,9.511764705882353
Fable III,33.56470588235294
FaceRig,1.9307692307692308
Fallen Earth,2.8404255319148937
Fallen Enchantress Legendary Heroes,17.018181818181816
Fallout,7.15
Fallout 2,10.777272727272727
Fallout 3,18.147368421052633
Fallout 3 - Game of the Year Edition,19.662745098039213
Fallout 4,64.44790419161676
Fallout New Vegas,51.682578397212545
Fallout Tactics,11.399999999999999
Far Cry,4.296153846153846
Far Cry 2,5.811320754716981
Far Cry 3,28.044198895027623
Far Cry 3 Blood Dragon,7.073469387755103
Far Cry 4,35.76285714285714
Farming Simulator 15,70.7
Farming Simulator 2013,66.85
Firefall,12.551282051282051
Fishing Planet,1.9040816326530612
Fistful of Frags,4.1278481012658235
Five Nights at Freddy's,2.1454545454545455
Five Nights at Freddy's 2,2.9086956521739133
Five Nights at Freddy's 4,1.2333333333333332
FlatOut 2,2.0142857142857142
Floating Point,0.5533333333333333
Football Manager 2009,64.65945945945946
Football Manager 2010,170.09
Football Manager 2011,234.49285714285716
Football Manager 2012,267.4114285714286
Football Manager 2013,214.04742268041235
Football Manager 2014,225.94
Football Manager 2015,227.60704225352114
Football Manager 2016,85.05925925925925
Forge,1.2526315789473685
Fractured Space,2.522222222222222
Free to Play,2.1121212121212123
FreeStyle2 Street Basketball,10.148351648351648
From Dust,6.6812499999999995
Frozen Synapse,6.003846153846154
Full Mojo Rampage,8.129999999999999
Fuse,1.9714285714285715
GRAV,14.209999999999999
GRID,22.67142857142857
GRID 2,16.557894736842105
GRID Autosport,8.934482758620689
Galactic Civilizations II Ultimate Edition,12.008333333333333
Galactic Civilizations III,48.480000000000004
Galaxy on Fire 2 Full HD,6.991666666666667
Game Dev Tycoon,12.198591549295775
Game of Thrones ,12.68125
Game of Thrones - A Telltale Games Series,15.12
GameMaker Studio,42.06153846153846
Garry's Mod,59.35954545454546
Gauntlet ,9.836363636363638
Gear Up,3.996296296296296
Genesis Online,0.5153846153846154
Geometry Dash,21.900000000000002
Geometry Wars Retro Evolved,2.15
Ghostbusters The Video Game,4.9363636363636365
Giana Sisters Twisted Dreams,3.8523809523809525
Gish,1.0692307692307692
Global Agenda,36.86666666666667
Gnomoria,25.754545454545454
Goat Simulator,7.100769230769231
God Mode,2.5076923076923077
Godus,8.366666666666667
Gone Home,2.033333333333333
Gotham City Impostors,6.061538461538461
Gotham City Impostors Free To Play,9.344117647058823
Gothic 3,19.94
Grand Theft Auto,0.32
Grand Theft Auto Episodes from Liberty City,16.835135135135136
Grand Theft Auto III,3.661764705882353
Grand Theft Auto IV,20.735840707964602
Grand Theft Auto San Andreas,10.442372881355933
Grand Theft Auto V,85.34089219330855
Grand Theft Auto Vice City,4.9543478260869565
Gratuitous Space Battles,10.173684210526316
Greed Corp,4.483333333333333
Grey Goo,10.799999999999999
Grim Dawn,16.923076923076923
Grim Fandango Remastered,6.1923076923076925
Grimm,2.707692307692308
Grow Home,7.791666666666667
Guacamelee! Gold Edition,5.961290322580646
Guardians of Middle-earth,2.18
Gun Monkeys,1.1586206896551725
GunZ 2 The Second Duel,7.879710144927537
Gunpoint,3.7526315789473683
Guns and Robots,5.4366666666666665
Guns of Icarus Online,7.320588235294117
H1Z1,53.753284671532846
HAWKEN,12.875454545454545
HIS (Heroes In the Sky),0.8636363636363636
HOARD,4.585714285714286
Hacker Evolution,1.5692307692307692
Half-Life,5.737068965517241
Half-Life 2,11.967134831460674
Half-Life 2 Deathmatch,11.913197969543148
Half-Life 2 Episode One,5.701351351351351
Half-Life 2 Episode Two,7.94468085106383
Half-Life 2 Lost Coast,1.0418079096045199
Half-Life Blue Shift,2.1804347826086956
Half-Life Deathmatch Source,0.75
Half-Life Opposing Force,4.080952380952381
Half-Life Source,8.027027027027026
Halo Spartan Assault,2.4538461538461536
Hammerwatch,8.106
Happy Wars,3.2036363636363636
Hard Reset,5.046666666666667
Haunted Memories,0.3318181818181818
Hazard Ops,5.957142857142857
Hearts of Iron III,57.285714285714285
Hero Siege,17.37037037037037
Heroes & Generals,9.849253731343284
Heroes of Might & Magic V,10.191666666666666
Hitman 2 Silent Assassin,3.585714285714286
Hitman Absolution,12.59225352112676
Hitman Blood Money,3.6695652173913045
Hitman Codename 47,2.0466666666666664
Hitman Sniper Challenge,2.1750000000000003
Homefront,13.244186046511627
Homeworld Remastered Collection,11.049999999999999
Hotline Miami,5.512765957446809
Hotline Miami 2 Wrong Number,10.488888888888889
How to Survive,6.991071428571429
HuniePop,20.82
Hydrophobia Prophecy,8.508333333333335
I am Bread,4.7272727272727275
IL-2 Sturmovik Cliffs of Dover,20.907692307692308
Infestation Survivor Stories,29.15373134328358
Infinite Crisis,2.989189189189189
Infinity Wars - Animated Trading Card Game,6.413333333333333
Injustice Gods Among Us Ultimate Edition,10.351063829787234
Insurgency,15.870547945205479
Insurgency Modern Infantry Combat,6.114925373134328
Interstellar Marines,3.7
Intrusion 2,1.8399999999999999
Jamestown,1.1863636363636365
Joe Danger 2 The Movie,0.9538461538461539
Just Cause,5.55
Just Cause 2,18.588709677419356
Just Cause 2 Multiplayer Mod,7.625581395348837
Just Cause 3,15.3
Kane & Lynch 2 Dog Days,4.905882352941177
Kerbal Space Program,59.272222222222226
Killer is Dead,2.42
Killing Floor,35.11631578947369
Killing Floor 2,33.22708333333333
Killing Floor Mod Defence Alliance 2,1.2964285714285713
King Arthur - The Role-playing Wargame,4.392857142857143
King Arthur II - The Role-playing Wargame,6.1923076923076925
King Arthur's Gold,3.0666666666666664
Kingdom Wars,7.826086956521739
Kingdoms of Amalur Reckoning,26.257777777777775
